Rijlabels;Aantal van bookingdate;;
GB;200560;;
AU;25170;;MX has 99,3% benign transactions
MX;24584;;AU has about 99,5%
SE;23889;;SE has >99,9%
NZ;5004;;
US;4107;;
CN;1713;;
NA;493;;
SA;252;;
KR;251;;
HK;207;;
TH;204;;
CA;198;;
AE;182;;
NG;162;;
LB;158;;
NO;152;;
BG;146;;
IE;131;;
VN;131;;
FR;128;;
DE;106;;
NL;103;;
SG;100;;
ES;100;;
KW;88;;
IN;87;;
MY;78;;
EG;78;;
CY;77;;
PT;76;;
BR;71;;
FI;69;;
RU;67;;
JP;65;;
RO;62;;
ZA;61;;
CH;59;;
AR;58;;
GR;55;;
QA;54;;
TR;54;;
IT;54;;
PH;46;;
CO;44;;
TW;44;;
PL;43;;
DK;39;;
KZ;36;;
ID;36;;
LT;30;;
IL;29;;
UA;29;;
IS;28;;
LY;23;;
BH;22;;
CL;21;;
PK;21;;
BE;19;;
JO;19;;
LV;18;;
SI;17;;
EC;17;;
GH;16;;
HU;14;;
SK;13;;
KE;13;;
MT;12;;
AZ;12;;
LU;12;;
MO;11;;
PA;10;;
RS;10;;
GE;10;;
LK;10;;
PE;9;;
BM;9;;
AT;9;;
GI;9;;
AL;9;;
AO;9;;
HR;8;;
TZ;7;;
MU;7;;
UY;7;;
BN;7;;
OM;7;;
ZM;6;;
MK;6;;
HN;5;;
BS;5;;
ZZ;4;;
VG;4;;
VE;4;;
ZW;4;;
BA;4;;
BD;4;;
EE;4;;
TT;4;;
BB;4;;
SV;3;;
PR;3;;
BW;3;;
MN;3;;
LA;3;;
KH;2;;
GT;2;;
BO;2;;
AD;2;;
CK;2;;
DO;2;;
FJ;2;;
BZ;2;;
CM;2;;
BF;2;;
KY;2;;
IQ;2;;
CR;1;;
JM;1;;
BJ;1;;
MD;1;;
BY;1;;
SL;1;;
CD;1;;
AM;1;;
PY;1;;
CW;1;;
CZ;1;;
TJ;1;;
SB;1;;
TM;1;;
CV;1;;
AI;1;;
CG;1;;
MV;1;;
ME;1;;
DZ;1;;
Eindtotaal;290382;;
